Symbol,Close,Volume,ADX,RSI,HV,Trend_Score,Stability_Score,Vol_Score,Status,Stability,Confidence,StopLoss_L,StopLoss_H,Target_Put,Target_Call,Passed
PFC,404.85,4574238,39.9,54.33,33.14,20.2,78.37,55.01,Trending,Stable,50.43,384.61,425.09,372.46,437.24,False
APOLLO,397.8,3635432,7.79,55.1,32.83,84.41,74.5,54.51,Sideways,Stable,74.47,377.91,417.69,365.98,429.62,True
CGPOWER,905.0,2246166,12.87,57.41,38.41,74.25,62.95,63.76,Sideways,Stable,67.63,859.75,950.25,832.6,977.4,True
TMCV,414.65,8282450,29.42,40.15,29.29,41.16,50.75,48.62,Trending,Stable,46.49,393.92,435.38,381.48,447.82,False
SAIL,163.04,8871859,18.5,41.46,30.56,63.0,57.31,50.72,Sideways,Stable,58.27,154.89,171.19,150.0,176.08,True
AEGISVOPAK,271.24,2212225,18.41,39.34,36.98,63.17,46.69,61.39,Sideways,Volatile,56.22,257.68,284.8,249.54,292.94,False
PNB,105.77,118992976,22.86,27.01,18.71,54.27,0.0,31.06,Sideways,Volatile,27.92,100.48,111.06,97.31,114.23,False
NTPC,341.85,14463484,25.93,48.46,17.31,48.13,92.29,28.74,Trending,Stable,61.92,324.76,358.94,314.5,369.2,False
LICHSGFIN,549.9,2352852,24.79,60.52,21.2,50.41,47.42,35.2,Sideways,Volatile,46.17,522.4,577.4,505.91,593.89,False
KRSNAA,540.0,68580,16.18,47.02,29.94,67.65,85.1,49.7,Sideways,Stable,71.04,513.0,567.0,496.8,583.2,True
ADANIPOWER,214.45,25750666,19.63,53.24,16.67,60.74,83.78,27.68,Sideways,Stable,63.35,203.73,225.17,197.29,231.61,True
FEDERALBNK,349.0,10483345,27.8,44.57,21.32,44.4,72.85,35.4,Trending,Stable,53.98,331.55,366.45,321.08,376.92,False
POWERGRID,283.55,11380170,42.18,56.35,17.53,15.64,68.23,29.1,Trending,Stable,39.37,269.37,297.73,260.87,306.23,False
HINDZINC,518.35,2385114,21.18,34.47,30.85,57.63,22.36,51.21,Sideways,Volatile,42.24,492.43,544.27,476.88,559.82,False
NYKAA,323.05,5976462,15.23,44.11,21.89,69.53,70.57,36.34,Sideways,Stable,63.31,306.9,339.2,297.21,348.89,True
TFCILTD,85.03,10342968,70.6,19.34,42.01,0.0,0.0,69.73,Trending,Volatile,13.95,80.78,89.28,78.23,91.83,False
CUPID,214.78,62639495,63.88,32.13,54.27,0.0,10.65,90.08,Trending,Volatile,22.28,204.04,225.52,197.6,231.96,False
IIFL,555.2,1501476,14.52,46.31,27.83,70.95,81.56,46.2,Sideways,Stable,70.24,527.44,582.96,510.78,599.62,True
YESBANK,23.61,133383727,11.59,61.56,12.99,76.81,42.19,21.56,Sideways,Volatile,51.92,22.43,24.79,21.72,25.5,False
OLAELEC,40.17,40933862,21.85,59.15,41.92,56.31,54.25,69.59,Sideways,Stable,58.14,38.16,42.18,36.96,43.38,True
MEESHO,187.87,11939826,8.16,49.64,32.71,83.69,98.21,54.3,Sideways,Stable,83.62,178.48,197.26,172.84,202.9,True
DLF,667.8,2754612,12.78,55.68,27.71,74.44,71.59,46.0,Sideways,Stable,67.61,634.41,701.19,614.38,721.22,True
WIPRO,176.0,10183661,32.7,43.83,17.81,34.61,69.17,29.56,Trending,Stable,47.42,167.2,184.8,161.92,190.08,False
IDFCFIRSTB,80.35,24353186,13.4,35.77,22.96,73.2,28.83,38.12,Sideways,Volatile,48.44,76.33,84.37,73.92,86.78,False
