Symbol,Close,Volume,ADX,RSI,HV,Trend_Score,Stability_Score,Vol_Score,Status,Stability,Confidence,StopLoss_L,StopLoss_H,Target_Put,Target_Call,Passed
GAIL,171.2,4986847,27.16,45.47,27.8,45.68,77.36,46.15,Trending,Stable,58.44,162.64,179.76,157.5,184.9,False
AMBUJACEM,438.5,1504285,42.22,60.97,22.59,15.55,45.14,37.5,Trending,Volatile,31.78,416.58,460.42,403.42,473.58,False
INDIANB,832.4,4753723,19.92,42.89,21.29,60.17,64.43,35.35,Sideways,Stable,56.91,790.78,874.02,765.81,898.99,True
SAGILITY,41.75,9957579,12.73,43.39,39.56,74.54,66.93,65.67,Sideways,Stable,69.72,39.66,43.84,38.41,45.09,True
NAZARA,304.65,1212308,36.92,27.67,37.03,26.16,0.0,61.47,Trending,Volatile,22.76,289.42,319.88,280.28,329.02,False
ARVIND,535.95,247967,10.4,50.97,34.47,79.21,95.17,57.22,Sideways,Stable,81.19,509.15,562.75,493.07,578.83,True
SOUTHBANK,44.6,25625417,26.63,39.42,22.86,46.74,47.11,37.95,Trending,Volatile,45.13,42.37,46.83,41.03,48.17,False
LXCHEM,171.76,4277798,20.06,43.87,52.59,59.88,69.35,87.29,Sideways,Stable,69.15,163.17,180.35,158.02,185.5,True
MANIPALHOS,590.0,47007715,16.16,27.96,42.3,67.69,0.0,70.22,Sideways,Volatile,41.12,560.5,619.5,542.8,637.2,False
HDFCGOLD,119.72,2343878,23.1,31.97,14.49,53.8,9.86,24.05,Sideways,Volatile,30.27,113.73,125.71,110.14,129.3,False
EXIDEIND,435.2,4985145,38.81,43.89,31.82,22.37,69.45,52.82,Trending,Stable,47.29,413.44,456.96,400.38,470.02,False
ARIS,110.39,588962,28.14,25.14,25.16,43.72,0.0,41.76,Trending,Volatile,25.84,104.87,115.91,101.56,119.22,False
VMM,110.33,5624420,23.11,54.47,24.46,53.78,77.65,40.61,Sideways,Stable,60.69,104.81,115.85,101.5,119.16,True
NLCINDIA,295.6,2344862,28.51,59.35,31.24,42.99,53.27,51.86,Trending,Stable,48.88,280.82,310.38,271.95,319.25,False
BODALCHEM,64.16,177654,57.56,22.83,39.73,0.0,0.0,65.95,Trending,Volatile,13.19,60.95,67.37,59.03,69.29,False
BORORENEW,604.55,433231,49.63,76.52,20.89,0.74,0.0,34.68,Trending,Volatile,7.23,574.32,634.78,556.19,652.91,False
SARDAEN,499.5,166394,16.41,46.09,32.75,67.18,80.46,54.37,Sideways,Stable,69.93,474.52,524.48,459.54,539.46,True
ANTHEM,777.0,1254996,28.43,34.01,26.77,43.14,20.05,44.43,Trending,Volatile,34.16,738.15,815.85,714.84,839.16,False
INOXWIND,78.12,7787106,12.48,54.73,39.61,75.03,76.37,65.75,Sideways,Stable,73.71,74.21,82.03,71.87,84.37,True
KROSS,192.25,25351624,14.01,40.41,44.17,71.97,52.04,73.32,Sideways,Stable,64.27,182.64,201.86,176.87,207.63,True
BALUFORGE,448.95,166432,32.91,45.44,46.87,34.19,77.22,77.8,Trending,Stable,60.12,426.5,471.4,413.03,484.87,False
AWL,188.66,1408368,26.47,48.21,20.2,47.06,91.03,33.52,Trending,Stable,61.94,179.23,198.09,173.57,203.75,False
MON100,332.9,225370,16.47,57.87,24.64,67.05,60.64,40.9,Sideways,Stable,59.26,316.25,349.54,306.27,359.53,True
ENGINERSIN,227.66,1065087,19.43,42.33,32.24,61.14,61.63,53.52,Sideways,Stable,59.81,216.28,239.04,209.45,245.87,True
JISLJALEQS,30.56,978964,15.98,55.89,46.45,68.04,70.54,77.1,Sideways,Stable,70.86,29.03,32.09,28.12,33.0,True
BELRISE,226.91,3545422,17.98,40.72,37.65,64.04,53.62,62.49,Sideways,Stable,59.56,215.56,238.26,208.76,245.06,True
PWL,136.05,4356588,31.63,62.26,37.55,36.75,38.69,62.34,Trending,Volatile,42.64,129.25,142.85,125.17,146.93,False
UJJIVANSFB,64.88,6983041,33.93,36.53,33.36,32.13,32.63,55.38,Trending,Volatile,36.98,61.64,68.12,59.69,70.07,False
KWIL,32.75,14552649,29.68,41.38,53.34,40.63,56.88,88.54,Trending,Stable,56.71,31.11,34.39,30.13,35.37,False
VINCOFE,159.05,1546871,14.39,53.74,35.98,71.22,81.32,59.72,Sideways,Stable,72.96,151.1,167.0,146.33,171.77,True
PARADEEP,140.26,1959428,14.6,44.66,50.57,70.8,73.32,83.94,Sideways,Stable,74.44,133.25,147.27,129.04,151.48,True
TATACAP,354.2,718398,15.73,48.29,25.82,68.54,91.46,42.86,Sideways,Stable,72.57,336.49,371.91,325.86,382.54,True
JUBLFOOD,417.15,1530259,32.78,32.19,35.94,34.44,10.95,59.65,Trending,Volatile,30.08,396.29,438.01,383.78,450.52,False
PCBL,320.8,3035462,29.44,48.65,70.33,41.11,93.26,100.0,Trending,Stable,73.75,304.76,336.84,295.14,346.46,False
RAILTEL,298.0,440731,37.66,65.41,21.47,24.67,22.94,35.64,Trending,Volatile,26.17,283.1,312.9,274.16,321.84,False
CONCOR,486.9,1904746,20.57,41.23,33.7,58.85,56.14,55.95,Sideways,Stable,57.19,462.55,511.24,447.95,525.85,True
RAYMONDREL,683.3,324266,23.04,61.01,56.21,53.92,44.95,93.31,Sideways,Volatile,58.21,649.13,717.46,628.64,737.96,False
SIGACHI,25.02,2466386,20.82,39.39,36.91,58.36,46.97,61.26,Sideways,Volatile,54.38,23.77,26.27,23.02,27.02,False
GMDCLTD,581.5,516384,16.67,55.87,34.28,66.66,70.67,56.91,Sideways,Stable,66.32,552.42,610.58,534.98,628.02,True
NOCIL,162.7,795544,11.51,44.62,35.49,76.97,73.11,58.91,Sideways,Stable,71.82,154.56,170.84,149.68,175.72,True
SOLARA,570.8,62736,26.96,55.74,34.2,46.08,71.31,56.78,Trending,Stable,58.31,542.26,599.34,525.14,616.46,False
GCSL,525.7,817661,43.66,49.49,55.26,12.68,97.46,91.72,Trending,Stable,62.4,499.42,551.99,483.64,567.76,False
SHADOWFAX,223.25,3187743,23.86,42.78,44.56,52.28,63.92,73.96,Sideways,Stable,61.27,212.09,234.41,205.39,241.11,True
SBC,42.27,4989526,51.63,50.69,19.3,0.0,96.54,32.03,Trending,Stable,45.02,40.16,44.38,38.89,45.65,False
CHOICEIN,808.8,642534,32.03,54.51,17.58,35.93,77.43,29.19,Trending,Stable,51.18,768.36,849.24,744.1,873.5,False
EMIL,128.77,391615,46.61,29.48,62.47,6.79,0.0,100.0,Trending,Volatile,22.72,122.33,135.21,118.47,139.07,False
ABDL,616.55,170346,13.13,47.87,37.37,73.75,89.33,62.04,Sideways,Stable,77.64,585.72,647.38,567.23,665.87,True
APOLLOTYRE,430.65,379115,24.47,50.37,14.6,51.05,98.16,24.23,Sideways,Stable,64.53,409.12,452.18,396.2,465.1,True
GENESYS,324.35,125603,27.41,65.32,147.95,45.19,23.4,100.0,Trending,Volatile,47.43,308.13,340.57,298.4,350.3,False
NMDC,83.22,22347504,20.28,46.92,16.69,59.45,84.61,27.71,Sideways,Stable,63.17,79.06,87.38,76.56,89.88,True
HCG,655.85,66032,23.14,37.84,26.82,53.73,39.2,44.51,Sideways,Volatile,46.07,623.06,688.64,603.38,708.32,False
SHOPERSTOP,390.75,83507,24.79,45.63,25.37,50.41,78.15,42.12,Sideways,Stable,59.85,371.21,410.29,359.49,422.01,True
GODAVARIB,256.4,128189,25.27,47.09,63.47,49.46,85.47,100.0,Trending,Stable,73.97,243.58,269.22,235.89,276.91,False
SKYGOLD,621.3,1579631,19.46,33.27,57.45,61.08,16.35,95.37,Sideways,Volatile,50.05,590.23,652.36,571.6,671.0,False
MARKSANS,267.1,755810,33.02,44.75,67.71,33.96,73.77,100.0,Trending,Stable,63.09,253.74,280.46,245.73,288.47,False
HUDCO,202.93,930485,53.7,64.75,25.64,0.0,26.25,42.55,Trending,Volatile,19.01,192.78,213.08,186.7,219.16,False
NCC,139.6,1671138,21.1,48.62,27.65,57.8,93.09,45.89,Sideways,Stable,69.54,132.62,146.58,128.43,150.77,True
EBGNG,543.0,223701,16.51,43.81,49.05,66.97,69.04,81.43,Sideways,Stable,70.69,515.85,570.15,499.56,586.44,True
KIRIINDUS,397.55,347104,9.01,37.24,30.9,81.98,36.2,51.29,Sideways,Volatile,57.53,377.67,417.43,365.75,429.35,False
BLACKBUCK,579.6,417363,13.49,53.82,30.75,73.01,80.88,51.04,Sideways,Stable,71.76,550.62,608.58,533.23,625.97,True
KPITTECH,554.05,1589210,28.06,39.39,47.38,43.87,46.93,78.65,Trending,Volatile,52.05,526.35,581.75,509.73,598.37,False
FSL,266.38,731559,18.55,43.85,77.08,62.91,69.23,100.0,Sideways,Stable,72.85,253.06,279.7,245.07,287.69,True
APLLTD,825.1,81589,13.15,52.18,19.31,73.69,89.09,32.05,Sideways,Stable,71.52,783.84,866.36,759.09,891.11,True
MIDHANI,408.0,326425,18.09,50.16,50.81,63.82,99.19,84.35,Sideways,Stable,82.07,387.6,428.4,375.36,440.64,True
CROMPTON,256.5,4001031,27.64,54.86,40.4,44.72,75.69,67.06,Trending,Stable,61.57,243.68,269.32,235.98,277.02,False
KFINTECH,887.9,565439,24.94,47.32,42.94,50.12,86.61,71.28,Sideways,Stable,68.95,843.5,932.3,816.87,958.93,True
GOLDAXIS,116.57,695131,26.94,33.21,16.15,46.11,16.03,26.81,Trending,Volatile,30.22,110.74,122.4,107.24,125.9,False
CMPDI,254.91,1211808,44.94,59.51,34.39,10.11,52.43,57.08,Trending,Stable,36.43,242.16,267.66,234.52,275.3,False
PURVA,222.26,96860,23.85,59.98,24.69,52.29,50.1,40.99,Sideways,Stable,49.16,211.15,233.37,204.48,240.04,True
MAHSEAMLES,580.45,67945,26.62,40.96,22.45,46.76,54.78,37.26,Trending,Stable,48.07,551.43,609.47,534.01,626.89,False
BLUEJET,584.55,448920,20.51,49.38,35.11,58.98,96.89,58.29,Sideways,Stable,74.0,555.32,613.78,537.79,631.31,True
ALOKINDS,12.32,4184842,67.48,78.19,12.24,0.0,0.0,20.31,Trending,Volatile,4.06,11.7,12.94,11.33,13.31,False
OMNI,565.6,194560,45.1,46.39,104.4,9.79,81.95,100.0,Trending,Stable,56.7,537.32,593.88,520.35,610.85,False
MBAPL,136.2,3421257,23.42,30.81,49.54,53.16,4.04,82.24,Sideways,Volatile,39.33,129.39,143.01,125.3,147.1,False
KSL,926.05,24706,99.0,59.6,24.41,0.0,52.01,40.52,Trending,Stable,28.91,879.75,972.35,851.97,1000.13,False
EIEL,220.23,2460009,25.33,56.15,31.16,49.33,69.24,51.73,Trending,Stable,57.77,209.22,231.24,202.61,237.85,False
